samples_per_class,MeanC,ProdC,MinC,MaxC
200,0.02444444,0.01911111,0.02488889,0.02266667
225,0.0205,0.0225,0.0215,0.0255
250,0.02545455,0.02254545,0.02436364,0.02618182
275,0.02533333,0.02033333,0.022,0.027
300,0.02461538,0.02184615,0.02492308,0.02369231
325,0.02114286,0.01971429,0.02114286,0.02571429
350,0.02346667,0.02,0.02133333,0.02426667
375,0.02575,0.01905,0.0225,0.026
400,0.0252,0.01896,0.0212,0.02492
