samples_per_class,MeanC,ProdC,MinC,MaxC
200,0.027,0.02,0.021,0.03
225,0.025,0.02,0.023,0.027
250,0.024,0.02,0.021,0.025
275,0.025,0.022,0.024,0.026
300,0.024,0.021,0.024,0.025
325,0.022,0.021,0.022,0.023
350,0.02,0.019,0.02,0.022
375,0.019,0.019,0.021,0.021
400,0.019,0.018,0.021,0.022
