dim,ldc,qdc,loglc,1nn,3nn,parzenc,linearsvc
540,0.9,0.9,0.205,0.082,0.089,0.9,0.097
264,0.3115,0.7785,0.168,0.0695,0.082,0.9,0.128
146,0.1065,0.738,0.2905,0.0675,0.0785,0.0845,0.143
91,0.113,0.111,0.272,0.0655,0.072,0.0625,0.1605
62,0.118,0.0675,0.2715,0.057,0.0595,0.058,0.1355
46,0.119,0.0645,0.446,0.06,0.07,0.0585,0.1355
35,0.1155,0.0565,0.243,0.0475,0.0485,0.0425,0.1095
27,0.1285,0.044,0.1105,0.061,0.0605,0.0545,0.1125
