samples_per_class,MeanC,ProdC,MinC,MaxC
4,0.275,0.25,0.4,0.275
5,0.26,0.24,0.16,0.2
6,0.15,0.18333,0.23333,0.2
7,0.1,0.1,0.2,0.11429
8,0.1125,0.125,0.2125,0.1625
9,0.1,0.15556,0.12222,0.077778
10,0.03,0.04,0.06,0.05
