samples_per_class,MeanC,ProdC,MinC,MaxC
160,0.035,0.03,0.035,0.0375
200,0.025,0.025,0.025,0.025
240,0.0275,0.025,0.0275,0.0275
280,0.0275,0.0275,0.0275,0.025
320,0.0275,0.03,0.03,0.025
360,0.0225,0.0275,0.0275,0.0225
400,0.025,0.025,0.0225,0.025
