samples_per_class,MeanC,ProdC,MinC,MaxC
4,0.06,0.04,0.05,0.03
5,0.06,0.04,0.06,0.03
6,0.05,0.03,0.05,0.05
7,0.05,0.03,0.05,0.04
8,0.06,0.03,0.06,0.05
9,0.06,0.03,0.06,0.04
10,0.04,0.03,0.05,0.04
