nmc,0.2985,1.0557
ldc,0.2375,1.3236
qdc,0.196,0.95399
fisherc,0.276,2.4304
loglc,0.23,2.96
parzenc,0.2075,5.1628
knn_1,0.235,1.29
knn_3,0.2165,1.0704
knn_5,0.214,1.0608
knn_7,0.2015,1.0718
knn_9,0.2075,1.0838
knn_11,0.209,1.0731
svm_lin,0.255,1175.5366
svm_rbf,0.7665,628.9257
neurc,0.2415,69.138
