nmc,0.55,1.877
ldc,0.54,2.0578
qdc,0.51,1.6634
fisherc,0.59,4.0433
loglc,0.53,4.6037
parzenc,0.55,1.2431
knn_1,0.67,1.751
knn_3,0.56,1.6076
knn_5,0.55,1.6098
knn_7,0.6,1.5917
knn_9,0.58,1.6051
knn_11,0.58,1.5994
svm_lin,0.66,8.7964
svm_rbf,0.88,9.1298
neurc,0.54,89.2777
