samples_per_class,MeanC,ProdC,MinC,MaxC
200,0.027,0.028,0.039,0.03
225,0.025,0.026,0.037,0.027
250,0.024,0.026,0.037,0.025
275,0.025,0.025,0.038,0.026
300,0.024,0.024,0.035,0.025
325,0.022,0.025,0.035,0.023
350,0.02,0.023,0.035,0.022
375,0.019,0.024,0.034,0.021
400,0.019,0.023,0.033,0.022
