dim,ldc,qdc,linearsvc,loglc,1NN,3NN,parzenc
524,0.229,0.9,0.1725,0.19,0.0675,0.076,0.9
239,0.129,0.4335,0.1565,0.176,0.0675,0.0795,0.9
125,0.1185,0.135,0.1765,0.2565,0.0455,0.0655,0.049
74,0.1125,0.0585,0.1705,0.2655,0.0475,0.055,0.0395
50,0.1195,0.042,0.1715,0.2735,0.046,0.058,0.043
36,0.111,0.0325,0.177,0.2065,0.0385,0.0435,0.0385
28,0.147,0.046,0.189,0.127,0.051,0.0565,0.045
22,0.1375,0.0435,0.199,0.1095,0.0435,0.047,0.037
