dim,ldc,qdc,fisherc,loglc,1NN,3NN,Parzenc
64,0.26,0.9,0.29,0.28,0.22,0.32,0.24
48,0.26,0.85,0.31,0.25,0.28,0.41,0.3
38,0.23,0.82,0.25,0.29,0.19,0.29,0.2
31,0.25,0.78,0.23,0.32,0.15,0.26,0.15
25,0.22,0.75,0.21,0.22,0.16,0.28,0.16
21,0.18,0.7,0.21,0.29,0.15,0.35,0.17
17,0.2,0.59,0.22,0.25,0.09,0.17,0.11
14,0.27,0.56,0.28,0.3,0.2,0.29,0.2
